,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2011-07-18,0.02475200043143302,0.019804630115400235,0.019804630115400235,-0.009357950476220234
2011-07-19,0.04399312302960371,0.035893156882337296,0.035893156882337296,0.006351994755328105
2011-07-20,-0.022208922385958774,-0.017167189240021696,-0.0005,-0.013432672681891744
2011-07-21,0.013006107139801076,0.010608970938217333,0.0,-0.0013122437323069835
2011-07-22,0.011405066486348966,0.0054077034569433025,0.0,-0.006241932463291078
2011-07-25,0.01282949127201326,0.010124470801464946,0.0,0.004132138010513486
2011-07-26,-0.001710463188098612,-0.006577314633129272,0.0,0.0036215413316231793
2011-07-27,-0.05586999460908717,-0.038676044674306076,-0.039176044674306076,0.009020863809110047
2011-07-28,-0.005938174240443331,-0.013119043046051604,-0.013119043046051604,0.015116940287148939
2011-07-29,0.040214155584849046,0.03290135675607764,0.03290135675607764,0.014251401694908239
2011-08-01,-0.02643189694131855,-0.04011140438449534,-0.04011140438449534,0.024787053394536906
2011-08-02,-0.02243208804024413,-0.03877099609731294,-0.03877099609731294,0.016176222501523174
2011-08-03,-0.004334836596187363,-0.0005,-0.0134836364259181,0.007883391806805973
2011-08-04,-0.058997101474391175,0.0,-0.04489184714891181,0.010379114034152925
2011-08-05,-0.06000542639589443,0.0,-0.09314115634123465,0.008634852263039061
2011-08-08,-0.006004135061697137,0.0,-0.037681925318609144,0.01726928181781373
2011-08-09,0.036358303917113984,0.0,0.02917111504397607,0.050928660627349576
2011-08-10,-0.010369253051892463,0.0,-0.002065157450709232,-0.006489038662866875
2011-08-11,0.031696043205605234,0.0,-0.03282850102452517,-0.013340584365892028
2011-08-12,0.008503583122250656,0.0,-0.0021396734230311187,0.009858843061687939
2011-08-15,0.007389731851522193,0.0,0.03771932557638524,-0.007391892310717241
2011-08-16,0.010127406811689544,0.0,0.014370233509487074,0.018687677205529774
2011-08-17,-0.021489643556690332,0.0,0.03731480351200811,0.03420719550266904
2011-08-18,-0.02778546028946139,0.0,0.05150410011007911,-0.004668060860779866
2011-08-19,0.011557761126105303,0.0,0.0033106908280560177,-0.011255523374178678
2011-08-22,-0.010472329927677207,0.0,0.0038074028170469454,0.0029814866596491463
2011-08-23,0.017403722453394967,0.0,-0.04871880317795407,-0.012160626942616104
2011-08-24,-0.01959551821086943,0.0,-0.12156655277782025,-0.0184651022464547
2011-08-25,0.0012220868935819312,0.0,0.07797058104219357,0.024107860788056712
2011-08-26,0.03670166727744058,0.0,0.026761490940852672,-0.02435714516854315
